Nr.p.k.,Norise,Iestāde,Pašvaldība,Punkti Lasīšana,Procenti Lasīšana,Punkti Klausīšanās,Procenti Klausīšanās,Punkti Rakstīšana,Procenti Rakstīšana,Punkti Runāšana,Procenti Runāšana,Punkti kopā,Procenti kopā,Tips,Urbanizācija
1,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"18,0000",72,"16,0000",64,"16,2500",65,"21,0000",84,"71,2500",71,vidusskola,Rīga
2,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"21,0000",84,"20,0000",80,"21,2500",85,"22,0000",88,"84,2500",84,vidusskola,Rīga
3,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"9,0000",36,"9,0000",36,"15,0000",60,"15,0000",60,"48,0000",48,vidusskola,Rīga
4,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"12,0000",48,"4,0000",16,"6,8750",27,"12,0000",48,"34,8750",34,vidusskola,Rīga
5,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"22,0000",88,"17,0000",68,"21,2500",85,"22,0000",88,"82,2500",82,vidusskola,Rīga
6,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"16,0000",64,"14,0000",56,"13,7500",55,"15,0000",60,"58,7500",58,vidusskola,Rīga
7,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"7,0000",28,"6,0000",24,"11,2500",45,"15,0000",60,"39,2500",39,vidusskola,Rīga
8,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"""VisLatvijas vidusskola""",Rīga,"8,0000",32,"4,0000",16,"13,7500",55,"15,0000",60,"40,7500",40,vidusskola,Rīga
9,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"16,0000",64,"14,0000",56,"18,7500",75,"21,0000",84,"69,7500",69,vidusskola,Novadu pilsētas
10,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Aizkraukles novada vidusskola,Aizkraukles novads,"18,0000",72,"18,0000",72,"21,2500",85,"22,0000",88,"79,2500",79,vidusskola,Novadu pilsētas
